COMPUTE_CENTROID	GM_NAAM	BEV_DICHTH	P_MAROKKO	OPP_LAND	P_15_24_JR	P_00_14_JR	P_ANT_ARU	P_45_64_JR	P_OVER_NW	GEM_HH_GR	P_GESCHEID	P_SURINAM	P_65_EO_JR	WATER	P_EENP_HH	P_GEHUWD	P_HH_M_K	P_WEST_AL	STED	AANT_MAN	P_VERWEDUW	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	P_25_44_JR	AANT_VROUW	P_ONGEHUWD	P_HH_Z_K	P_N_W_AL	AANT_INW	GM_CODE
537.4671010952704 713.9358842284106	Appingedam	503	0	2378	10	15	1	30	2	2.1	9	1	24	NEE	37	42	31	7	3	5802	7	2458	2	5600	1045	80	21	6169	42	32	6	11971	GM0003
499.72004114691 707.6494054379298	Bedum	235	0	4454	12	16	0	30	2	2.3	6	0	21	NEE	29	45	36	4	4	5241	5	4496	0	4399	678	41	21	5238	44	35	3	10479	GM0005
579.5037113326084 660.131004873329	Bellingwedde	82	0	10837	9	13	0	33	2	2.2	8	0	27	NEE	30	48	30	8	5	4534	7	11009	0	3989	151	172	18	4385	37	40	3	8919	GM0007
513.9337179993131 703.8910107849536	Ten Boer	161	0	4531	11	18	0	30	2	2.4	6	0	20	NEE	27	43	40	4	5	3607	6	4573	0	2958	371	42	21	3681	44	33	3	7288	GM0009
549.5480750914062 714.9026827732315	Delfzijl	188	0	13313	10	14	2	31	4	2.1	8	1	24	NEE	36	44	31	8	4	12560	7	22750	2	11527	680	9437	20	12405	41	33	10	24965	GM0010
497.9743271391348 689.7400963532075	Groningen	2125	1	9534	24	12	2	21	7	1.6	7	2	12	NEE	62	22	18	12	1	101315	3	10150	1	122280	3448	616	30	101321	68	21	12	202636	GM0014
451.38448006310705 685.3586937583887	Grootegast	140	0	8671	12	18	0	30	1	2.5	5	0	17	NEE	26	44	42	2	5	6193	5	8774	0	4821	230	103	22	5973	47	32	1	12166	GM0015
505.41322097656126 672.6111237382236	Haren	431	0	4542	10	17	0	29	4	2.2	7	0	26	NEE	36	42	32	8	4	9329	7	5073	0	8707	865	532	18	10241	44	32	5	19570	GM0017
522.8657449884458 671.1217139472959	Hoogezand-Sappemeer	515	1	6646	11	15	1	29	3	2.1	9	4	22	NEE	37	40	32	7	3	16906	7	7299	3	15716	1249	653	22	17326	45	31	12	34232	GM0018
465.9732707382185 674.19952767602	Leek	311	0	6318	11	17	0	30	2	2.3	7	1	21	NEE	30	44	36	5	4	9694	6	6428	0	8330	735	110	21	9949	44	34	3	19643	GM0022
519.1514326223418 719.4780880626836	Loppersum	89	0	11104	11	16	0	33	1	2.3	7	0	21	NEE	32	44	33	4	5	5021	6	11199	0	4342	208	95	20	4893	43	35	2	9914	GM0024
452.0587805687208 670.5393874559477	Marum	161	0	6446	13	16	0	32	2	2.4	6	0	18	NEE	26	44	40	4	5	5364	5	6489	0	4241	336	43	21	5024	45	33	2	10388	GM0025
296.67519288793955 473.90201708793893	Almere	1555	4	12924	13	19	2	30	11	2.4	9	11	10	NEE	32	36	44	10	2	99673	3	24877	2	84009	1578	11953	28	101241	52	24	30	200914	GM0034
563.3445370376674 635.5986780115655	Stadskanaal	274	0	11764	11	15	0	29	3	2.2	8	0	24	NEE	35	44	32	5	4	16003	8	11994	0	14554	839	231	21	16249	40	34	3	32252	GM0037
530.089307963583 693.6242374414384	Slochteren	110	0	13402	11	16	0	33	1	2.3	6	0	19	NEE	28	45	37	4	5	7515	5	14115	0	6272	221	713	20	7222	44	35	2	14737	GM0040
543.22728842739 656.9109507453611	Veendam	362	0	7600	11	15	0	30	2	2.2	8	1	22	NEE	33	43	34	5	4	13627	7	7868	3	12450	995	268	22	13900	42	33	7	27527	GM0047
580.0942494974722 625.2791678655443	Vlagtwedde	95	0	16740	10	14	0	31	3	2.2	8	0	25	NEE	33	45	30	5	5	7939	8	17056	0	7084	353	316	19	7969	39	37	4	15908	GM0048
327.98891675498214 468.5712827041823	Zeewolde	91	0	24748	15	19	0	31	4	2.4	7	1	12	NEE	31	43	41	12	4	11549	3	26886	0	9274	797	2137	24	10908	47	28	6	22457	GM0050
486.15745352825536 716.1443264055013	Winsum	134	0	10110	11	18	0	31	2	2.3	7	0	21	NEE	31	44	36	5	5	6704	5	10253	0	5847	432	144	19	6892	44	33	3	13596	GM0053
466.4102088447108 701.7275420689889	Zuidhorn	150	0	12548	11	19	0	28	2	2.4	6	0	19	NEE	28	45	40	4	5	9427	5	12837	0	7606	411	289	22	9432	45	32	3	18859	GM0056
415.1446337110627 722.9725398356153	Dongeradeel	144	0	16651	12	18	0	29	2	2.3	7	0	21	NEE	34	42	35	3	4	11947	6	26692	0	10283	555	10040	21	11954	45	31	2	23901	GM0058
431.81629312738954 687.1468839203905	Achtkarspelen	273	0	10226	12	18	0	28	2	2.4	6	0	19	NEE	29	43	39	2	5	14185	6	10398	0	11608	426	172	23	13708	45	32	2	27893	GM0059
373.1596431966707 745.21179587107	Ameland	62	0	5865	9	17	0	28	1	2.2	5	0	22	NEE	36	44	30	5	5	1799	6	26850	0	1649	250	20984	23	1834	45	34	2	3633	GM0060
357.7031905938919 702.3908950572101	het Bildt	114	0	9233	11	17	0	30	4	2.3	7	0	20	NEE	34	42	34	5	5	5335	6	11648	0	4515	293	2415	21	5158	45	32	4	10493	GM0063
340.6207925498108 681.4641964854123	Franekeradeel	197	0	10259	11	16	0	30	2	2.2	7	0	21	NEE	34	42	33	6	4	10167	6	10917	0	8999	695	658	22	10048	45	32	3	20215	GM0070
327.91731222357527 676.2178770351622	Harlingen	635	1	2496	11	16	0	29	3	2.1	9	1	23	NEE	39	40	31	8	3	7993	6	38767	0	7426	1033	36270	21	7867	44	30	4	15860	GM0072
407.4519446282956 631.6631186120206	Heerenveen	264	1	19013	11	17	0	29	3	2.2	8	1	21	NEE	35	40	34	6	3	24897	6	19817	1	22534	1073	804	23	25306	46	31	6	50203	GM0074
435.9621560370118 707.4361974493462	Kollumerland en Nieuwkruisland	117	0	10960	12	18	0	29	2	2.4	6	0	19	NEE	30	43	38	2	5	6590	5	11635	0	5326	366	675	22	6282	46	32	2	12872	GM0079
384.2994851838136 670.9933661530415	Leeuwarden	704	1	15441	16	15	1	26	6	1.9	9	1	17	NEE	48	32	26	8	2	53831	5	17023	0	56053	2206	1582	26	54836	55	26	10	108667	GM0080
377.0739954984218 697.7566599096966	Leeuwarderadeel	247	0	4090	11	16	0	31	3	2.3	6	0	22	NEE	27	47	36	4	4	5041	5	4146	0	4205	547	57	20	5067	42	37	4	10108	GM0081
453.5602227330449 628.7275196889079	Ooststellingwerf	114	0	22397	11	15	0	31	2	2.2	8	0	23	NEE	32	43	34	4	5	12777	6	22611	0	11134	479	215	21	12763	43	34	2	25540	GM0085
427.67325541795174 645.1579866563799	Opsterland	132	0	22448	12	17	0	31	2	2.3	7	0	20	NEE	30	43	37	4	5	14879	6	22764	0	12419	399	316	20	14839	44	33	3	29718	GM0086
443.55271554032464 756.101513603032	Schiermonnikoog	25	0	3704	10	12	1	31	1	1.8	9	0	28	NEE	48	42	21	7	5	483	7	19907	0	509	311	16203	20	458	41	31	2	941	GM0088
416.3895872954652 661.1433703738065	Smallingerland	473	0	11766	12	17	1	28	4	2.2	8	1	20	NEE	35	41	34	5	3	27712	6	12617	0	24556	1335	851	23	27983	46	30	5	55695	GM0090
309.6570369608917 732.003275208403	Terschelling	58	0	8345	17	12	0	28	1	1.9	8	0	22	NEE	49	38	23	5	5	2579	6	67399	0	2572	241	59054	21	2280	48	28	2	4859	GM0093
256.47244732322616 697.8843002877369	Vlieland	31	0	3544	12	13	0	34	1	1.8	9	0	19	NEE	48	38	21	9	5	533	5	31580	0	580	197	28036	23	552	48	31	2	1085	GM0096
413.7098485464814 601.613661377934	Weststellingwerf	116	1	22071	11	16	0	30	2	2.2	7	0	23	NEE	32	44	34	4	4	12765	7	22845	0	11192	675	773	21	12843	43	35	4	25608	GM0098
